Name,City,State,Country,Type
Grigg Street,Greenwich,CT,USA,Neapolitan
Riko's Pizza,Darien,CT,USA,Tavern
Dante's,New Canaan,CT,USA,Neapolitan
Colony Grill,Stamford,CT,USA,Tavern
Riko's Pizza,Stamford,CT,USA,Tavern
Westover Pizza,Stamford,CT,USA,Tavern
Frank Pepe's,Stamford,CT,USA,Apizza
Sally's ,Stamford,CT,USA,Apizza
Remo's Brick Oven Pizza,Stamford,CT,USA,Neapolitan
Colony Grill,Norwalk,CT,USA,Tavern
Crust Issues,Norwalk,CT,USA,Thick
Jordan's,Norwalk,CT,USA,Greek
Riko's Pizza,Norwalk,CT,USA,Tavern
Letizia's,Norwalk,CT,USA,Neapolitan
Riko's Pizza,Westport,CT,USA,Tavern
Colony Grill,Fairfield,CT,USA,Tavern
Riko's Pizza,Fairfield,CT,USA,Tavern
Frank Pepe's,Fairfield,CT,USA,Apizza
Sally's ,Fairfield,CT,USA,Apizza
Nauti Dolphin,Fairfield,CT,USA,Neapolitan
Frank Pepe's,Danbury,CT,USA,Apizza
Beverly Pizza House,Bridgeport,CT,USA,Greek
Fire Engine Pizza Co,Bridgeport,CT,USA,Neapolitan
Mike's Apiiza,West Haven,CT,USA,Apizza
Roseland,Derby,CT,USA,Apizza
Zuppardi's,West Haven,CT,USA,Apizza
Tipsy Tomato,Derby,CT,USA,Apizza
Roma Pizzeria,Ansonia,CT,USA,Neapolitan
Zois Pizza Palace,Seymour,CT,USA,Greek
Good Old Days,Newtown,CT,USA,"Neapolitan, Thick"
Julio's Wood Fired Pizza,Southbury,CT,USA,Neapolitan
Domenic and Vinnie's,Middlebury,CT,USA,Neapolitan
Pies and Pubs,Middlebury,CT,USA,Neapolitan
Domenick and Pia,Waterbury,CT,USA,Neapolitan
Frank Pepe's,Waterbury,CT,USA,Apizza
Martino's Pizzaria,Oakville,CT,USA,Greek
Domenic and Vinnie's,Watebury,CT,USA,Neapolitan
Swyft,Kent,CT,USA,Neapolitan
Sasso's,Torrington,CT,USA,Neapolitan
Pizzeria Marzano,Torrington,CT,USA,Neapolitan
Colony Grill,Milford,CT,USA,Tavern
GG's Wood Fired Pizza,Milford,CT,USA,Neapolitan
Jimmy's Apizza,Milford,CT,USA,Apizza
New Haven Pizza Place,Milford,CT,USA,Apizza
Papa's Pizza,Milford,CT,USA,Neapolitan
Ernie's,New Haven,CT,USA,Apizza
Frank Pepe's,New Haven,CT,USA,Apizza
Modern,New Haven,CT,USA,Apizza
One and Three,New Haven,CT,USA,Apizza
Ozzy's,New Haven,CT,USA,Apizza
Sally's ,New Haven,CT,USA,Apizza
Est Est Est,New Haven,CT,USA,Neapolitan
Atticus Market,New Haven,CT,USA,Neapolitan
Da Legna at Nolo,New Haven,CT,USA,Neapolitan
Zeneli,New Haven,CT,USA,Neapolitan
Bar,New Haven,CT,USA,Tavern
George's Pizza,Unionville,CT,USA,Greek
Jam City,Hamden,CT,USA,Thick
Haven,Prospect,CT,USA,Neapolitan
Olde World Apizza,North Haven,CT,USA,Apizza
John and Maria's,East Haven,CT,USA,Neapolitan
E and D Pizza Co.,Avon,CT,USA,Neapolitan
Savoy Pizzeria,West Hartford,CT,USA,Neapolitan
Zephyr's Street Pizza,West Hartford,CT,USA,Tavern
Sally's ,Farmington,CT,USA,Apizza
Naples Pizza,Farmington,CT,USA,Neapolitan
Domenic and Vinnie's,Southington,CT,USA,Neapolitan
Fuoco Apizza,Cheshire,CT,USA,Apizza
Rossini's Pizza,Cheshire,CT,USA,Neapolitan
Little Rendezvous,Meriden,CT,USA,Apizza
Napoli Pizza,Wallingford,CT,USA,Neapolitan
Bobby's Apizza,North Branford,CT,USA,Apizza
Bufalina,Guilford,CT,USA,Neapolitan
Grand Apizza,Madison,CT,USA,Apizza
Amato's,Madison,CT,USA,Apizza
Grand Apizza,Clinton,CT,USA,Apizza
Coastline Brewing and Pizzeria,Westbrook,CT,USA,Neapolitan
Brickside Pizza,Ivoryton,CT,USA,Neapolitan
Pizza Works,Old Saybrook,CT,USA,Tavern
Pizza Palace,Old Saybrook,CT,USA,Greek
Alforno,Old Saybrook,CT,USA,Neapolitan
Sapore Pizzeria,Old Lyme,CT,USA,Neapolitan
Privateers,Essex,CT,USA,Neapolitan
Vincitori,Niantic,CT,USA,Apizza
Pizza Palace,Groton,CT,USA,Greek
Frank Pepe's,Uncasville,CT,USA,Apizza
Nana's,Mystic,CT,USA,Thick
Mystic Pizza,Mystic,CT,USA,Greek
Mango's,Mystic,CT,USA,Neapolitan
Mystic Pizza,North Stonington,CT,USA,Greek
Fireside Brick Oven Creations,Gales Ferry,CT,USA,Neapolitan
Brick and Basil,Norwich,CT,USA,Neapolitan
Trigo Wood Fired Pizza,Windham,CT,USA,Neapolitan
Tony's,Willimantic,CT,USA,Greek
Classic Pizza,Brookyln,CT,USA,Greek
4G's,Dayville,CT,USA,Greek
Pizza 101,Pomfret,CT,USA,Greek
Willington Pizza,Willington,CT,USA,Greek
Camille's,Tolland,CT,USA,Neapolitan
Hartford Road Pizza,Manchester,CT,USA,Greek
New England Pizza,Vernon,CT,USA,Greek
CJ's Pizza,Manchester,CT,USA,Neapolitan
Mulberry Street Pizza,Manchester,CT,USA,Neapolitan
Frank Pepe's,Manchester,CT,USA,Apizza
Little City Pizza,Avon,CT,USA,Neapolitan
Frank Pepe's,West Hartford,CT,USA,Apizza
First and Last Tavern,Hartford,CT,USA,Neapolitan
Pizza Garden,Hartford,CT,USA,"Apizza, Neapolitan, Thick"
Village Pizza of Wethersfield,Wethersfield,CT,USA,Greek
Vito's,Wethersfield,CT,USA,Neapolitan
Sally's ,Wethersfield,CT,USA,Apizza
Pete's Pizza Palace,Rocky Hill,CT,USA,Greek
Mondo,Middletown,CT,USA,Neapolitan
Krust,Middletown,CT,USA,Neapolitan
Rossini's Pizza,East Hampton,CT,USA,Neapolitan
Sicily Wood Fired Pizza,Middletown,CT,USA,Neapolitan
Vero Cucino Rustico,Middletown,CT,USA,Neapolitan
Carmine's Pizza,Durham,CT,USA,Neapolitan
Christo's,Wallingford,CT,USA,"Neapolitan, Thick"
Otto,Chester,CT,USA,Neapolitan
Three Fellas,Marlborough,CT,USA,Tavern
